simulation_id,node_id,x_position_m,y_position_m,height_m,role,hop_limit,antenna_gain_dbi,message_period_ms,messages_created,packets_sent,rebroadcast_packets,packets_sensed,packets_detected,packets_received,collisions,useful_packets,packets_dropped_by_delay,tx_airtime_ms,direct_neighbor_count,is_moving,gps_enabled
40,0,153.03911618401796,192.69491999994244,1.0,CLIENT,7,2,100000,16,63,0,494,531,368,126,114,169,65673.21600000003,7,False,False
40,1,581.897177789636,468.87983999949256,1.0,CLIENT,7,2,100000,17,90,0,222,354,180,42,103,54,93818.88000000005,7,False,False
40,2,410.40148082287726,-413.77644000019444,1.0,CLIENT,7,2,100000,15,61,0,322,406,287,36,114,122,63588.352000000035,7,False,False
40,3,-867.6969351364276,-138.7047200002067,1.0,CLIENT,7,2,100000,16,59,0,349,450,300,49,115,144,61503.488000000034,7,False,False
40,4,-679.566551628246,-652.4465200003342,1.0,CLIENT,7,2,100000,18,71,0,306,354,274,32,112,111,74012.67200000004,7,False,False
40,5,-526.8442866162151,985.1819999994837,1.0,CLIENT,7,2,100000,10,105,0,227,297,211,16,120,73,109455.36000000006,6,False,False
40,6,162.4654385575285,-846.5885999997869,1.0,CLIENT,7,2,100000,18,73,0,242,352,226,16,111,80,76097.53600000004,6,False,False
40,7,-858.1121871766421,281.63960000001595,1.0,CLIENT,7,2,100000,21,73,0,320,422,275,45,110,113,76097.53600000004,7,False,False

41,0,221.00369262618443,-239.2266800003165,1.0,CLIENT,7,2,100000,16,34,0,370,406,343,26,115,151,35442.68800000002,7,False,False
41,1,-218.6273088348742,-653.7823600001254,1.0,CLIENT,7,2,100000,17,76,0,227,316,221,5,114,76,79224.83200000004,7,False,False
41,2,141.0779844323594,550.9226799995901,1.0,CLIENT,7,2,100000,15,43,0,360,394,332,28,116,149,44824.57600000002,7,False,False
41,3,750.5412142056966,163.4177599995084,1.0,CLIENT,7,2,100000,16,75,0,253,341,241,11,115,90,78182.40000000004,7,False,False
41,4,-344.10037303575365,-180.44972000001053,1.0,CLIENT,7,2,100000,18,33,0,389,409,356,32,113,165,34400.256000000016,7,False,False
41,5,618.8895521468479,184.23459999994634,1.0,CLIENT,7,2,100000,10,43,0,341,398,312,28,121,150,44824.57600000002,7,False,False
41,6,-299.9788473034854,-107.98040000026248,1.0,CLIENT,7,2,100000,18,43,0,390,399,354,35,113,162,44824.57600000002,7,False,False
41,7,-429.491763950155,802.6172000000673,1.0,CLIENT,7,2,100000,21,95,0,197,304,189,7,104,53,99031.04000000005,7,False,False

42,0,334.67405066168027,-537.2303200001479,1.0,CLIENT,7,2,100000,16,53,0,339,455,313,26,110,151,55248.89600000003,7,False,False
