number_of_nodes,number_of_nodes,number_of_nodes,number_of_nodes,timestamp,number_of_packets,simulation_time_ms,message_period_ms,path_loss_model,messages_created,packets_sent,potential_receivers,packets_sensed,packets_received,useful_receptions,duplicate_packets,collisions,packets_dropped_delay_or_hop_limit,mean_delay_ms,tx_air_utilization_rate,collision_rate,node_reach,usefulness,no_link_rate,total_directed_links,available_directed_links,unavailable_directed_links,transmissions_per_message,successful_decode_rate,average_nodes_reached_per_message
32,32,32,32,1785781876.308141,4031,1800000,100000,6,398,4031,124961,116895,32479,8265,24214,0,23830,270476.2489877073,0.0202876088888889,0.0,0.6698816663964986,0.2544721204470581,0.0,870,870,0,10.128140703517587,0.2778476410453826,20.766331658291456
32,32,32,32,1785781911.497868,4129,1800000,100000,6,398,4129,127999,119691,32681,8265,24416,37,23897,267931.8744652773,0.0204504888888889,0.0003091293413874059,0.6698816663964986,0.25289923808940973,0.0,870,870,0,10.374371859296483,0.27304475691572466,20.766331658291456
32,32,32,32,1785781943.9275231,3913,1800000,100000,6,402,3913,121303,112989,33344,8552,24792,66,24279,247253.05232544162,0.02099342222222223,0.0005841276584446273,0.6862461884127748,0.2564779270633397,0.0022988505747126436,870,868,2,9.733830845771145,0.2951083733814796,21.27363184079602
32,32,32,32,1785781976.5191941,4098,1800000,100000,6,397,4098,127038,118611,33300,8350,24950,191,24377,264844.2525272782,0.02099342222222223,0.001610305958132045,0.6784756642561144,0.25075075075075076,0.0,870,870,0,10.32241813602015,0.2807496775172623,21.03274559193955
32,32,32,32,1785782008.458143,3890,1800000,100000,6,397,3890,120590,112791,32702,8265,24437,0,23987,264442.93792225793,0.020414293333333344,0.0,0.6715690257576988,0.2527368356675433,0.0,870,870,0,9.798488664987406,0.28993448058799015,20.818639798488665
32,32,32,32,1785782039.920831,3847,1800000,100000,6,397,3847,119257,111510,32836,8323,24513,0,24037,260974.44658574165,0.020522880000000007,0.0,0.6762817908507354,0.2534717992447314,0.0,870,870,0,9.690176322418136,0.2944668639583894,20.964735516372794
32,32,32,32,1785782072.670412,3933,1800000,100000,6,398,3933,121923,113835,33190,8468,24722,0,24296,253993.88550829346,0.020794346666666675,0.0,0.6863349003079916,0.2551370894847846,0.0,870,870,0,9.881909547738694,0.29156234901392364,21.276381909547737
32,32,32,32,1785782104.366645,3886,1800000,100000,6,397,3886,120466,112651,32925,8352,24573,0,24084,263129.9445370791,0.020559075555555566,0.0,0.6786381733972536,0.2536674259681093,0.0,870,870,0,9.788413098236775,0.29227436951292046,21.037783375314863
32,32,32,32,1785782142.394182,3809,1800000,100000,6,401,3809,118079,110364,33565,8555,25010,0,24522,246414.57656620067,0.020975324444444454,0.0,0.6881988576944735,0.2548785937732757,0.0,870,870,0,9.498753117206983,0.3041299699177268,21.33416458852868
32,32,32,32,1785782174.033838,3960,1800000,100000,6,398,3960,122760,114819,32470,8352,24118,0,23688,258691.92453340956,0.02026951111111112,0.0,0.676933052358567,0.25722205112411456,0.0,870,870,0,9.949748743718592,0.28279291754848934,20.984924623115578
32,32,32,32,1785782216.773407,3876,1800000,100000,6,398,3876,120156,111900,34147,8669,25478,39,24951,242896.0588972408,0.021482062222222233,0.0003485254691689008,0.7026260333927703,0.253872961021466,0.0,870,870,0,9.738693467336683,0.3051563896336014,21.781407035175878
32,32,32,32,1785782253.044868,3788,1800000,100000,6,397,3788,117428,109660,33516,8351,25165,0,24586,252350.07186128557,0.02099342222222223,0.0,0.678556918826684,0.24916457811194653,0.0,870,870,0,9.541561712846347,0.30563560094838593,21.035264483627206
32,32,32,32,1785782284.393617,3973,1800000,100000,6,398,3973,123163,115155,33919,8758,25161,43,24744,246436.9613561251,0.021228693333333343,0.00037340975207329253,0.7098395201815529,0.2582033668445414,0.0,870,870,0,9.982412060301508,0.2945508228040467,22.00502512562814
32,32,32,32,1785782313.519135,3992,1800000,100000,6,397,3992,123752,115658,32727,8322,24405,35,23944,266037.12771349895,0.02050478222222223,0.0003026163343651109,0.6762005362801657,0.2542854523787698,0.0,870,870,0,10.055415617128464,0.28296356499334246,20.962216624685137
52,52,52,52,1785782413.4509802,10898,1800000,100000,6,665,10898,555798,532980,63303,16121,47182,128,46720,483056.31730020646,0.014467085128205135,0.00024015910540733235,0.47533539731682145,0.25466407595216656,0.0,2450,2450,0,16.38796992481203,0.11877181132500282,24.242105263157896
52,52,52,52,1785782524.836799,11003,1800000,100000,6,664,11003,561153,537441,63394,16166,47228,566,46443,486742.0460574319,0.014634141538461544,0.0010531388561721194,0.477380108669974,0.25500836041265734,0.0,2450,2450,0,16.57078313253012,0.11795527322999176,24.346385542168676
